,DATE_ACQUIRED,SUHI
0,1984-06-06,2.6772434736136574
1,1984-06-22,6.668251786063401
2,1984-09-10,4.822474769008707
3,1984-10-12,6.919067110043855
4,1984-10-28,6.74181763013771
5,1984-11-13,4.957574196735507
6,1984-11-29,3.4088532942152554
7,1984-12-31,-4.120212252648884
8,1985-02-01,0.7272240469009539
9,1985-02-17,2.7607294881007753
10,1986-01-03,3.301233617990409
11,1986-02-20,4.6755359555235145
12,1986-03-08,4.723313009846805
13,1986-06-28,7.006819933580843
14,1986-08-15,6.055177491058586
15,1986-09-16,4.48636079624783
16,1987-01-06,4.82810580106462
17,1987-01-22,3.169564809164008
18,1987-02-07,3.5804305045959595
19,1987-03-11,3.5855058676117473
20,1987-03-27,4.463880100125856
21,1987-04-12,5.300547086343499
22,1987-05-14,1.0230486769753462
23,1987-06-15,8.063055861798667
24,1987-07-01,6.1295622445063955
25,1987-10-05,4.850051780942813
26,1987-10-21,5.190718425201901
27,1987-12-16,4.089050693093903
28,1987-12-24,0.7587760366259602
29,1988-01-09,1.0972060005155058
30,1988-01-25,2.466496372049086
31,1988-03-13,1.1731586099452684
32,1988-03-29,5.9773295264215776
33,1988-04-14,4.45126556390143
34,1988-04-30,7.672182869856137
35,1988-05-16,-1.6669322499623291
36,1988-06-01,5.955674940356616
37,1988-07-03,5.704868189694658
38,1988-07-19,4.333624383947814
39,1988-08-04,4.392741602442385
40,1988-08-20,7.4679704474170165
41,1988-09-05,6.426767934866405
42,1988-09-21,3.9971406927548188
43,1988-10-23,6.121257707809349
44,1988-11-08,5.081260539866712
45,1988-11-24,4.1025265705247875
46,1988-12-02,4.145936116845661
47,1988-12-10,1.909899176154621
48,1989-01-03,-0.1067997671333174
49,1989-01-11,0.8999358231368042
50,1989-02-12,2.8410956675013743
51,1989-02-28,5.096761645234203
52,1989-03-16,4.832903769719557
53,1989-04-01,3.7683466835341974
54,1989-04-17,6.03561778518381
55,1989-05-03,7.719223052518693
56,1989-06-04,7.043885502923914
57,1989-06-20,6.300071048735653
58,1989-07-06,4.649045718336829
59,1989-07-22,7.12729234791238
60,1989-08-07,7.334683251911834
61,1989-08-23,5.4301690171418215
62,1989-09-24,8.01537257801374
63,1989-10-10,7.0534717048500255
64,1990-02-15,2.882028119700447
65,1990-03-03,4.070161872658414
66,1990-04-04,4.87580879166034
67,1990-05-06,6.168593483523296
68,1990-05-22,6.122680977978369
69,1990-06-07,5.717840354879307
70,1990-06-23,6.578876497474923
71,1990-07-09,8.131357003142739
72,1990-08-26,4.514171204459707
73,1990-09-11,5.715965263751684
74,1990-09-27,4.030515729519188
75,1990-10-13,4.223396196183614
76,1990-10-29,4.59651154111863
77,1990-11-06,5.125727045847114
78,1990-11-14,3.4426019381246675
79,1990-12-16,2.3025449853119113
80,1991-01-09,1.6665008628311995
81,1991-01-17,4.08846632965858
82,1991-02-02,1.3988428411542095
83,1991-02-18,5.794357063040451
84,1991-03-06,2.5140278815338206
85,1991-04-07,3.792456020010256
86,1991-04-23,7.510644400166619
87,1991-05-25,5.131298558908291
88,1991-06-10,7.0200269039634335
89,1991-06-26,4.360675721278625
90,1991-07-28,7.184646089332894
91,1991-08-13,5.771138045519066
92,1991-08-29,5.176199985179309
93,1991-09-14,5.184726629433598
94,1991-09-30,4.237411708258392
95,1991-11-17,3.136367867778425
96,1991-12-03,2.787307236445727
97,1991-12-19,1.1215678566958722
98,1992-01-04,-0.11994573305264211
99,1992-01-20,1.8919372909869665
100,1992-02-05,0.7268179780519155
101,1992-04-09,6.551826056130665
102,1992-05-11,5.75607874700286
103,1992-05-27,5.968210553679626
104,1992-06-28,7.339576308595916
105,1992-07-14,7.512911558493492
106,1992-07-30,7.006300731557154
107,1992-08-15,6.517835866546477
108,1992-08-31,6.524582106645639
109,1992-09-16,6.416960717513398
110,1992-11-03,0.4578732789472575
111,1992-12-05,1.706285148776601
112,1992-12-21,1.1672749102591844
113,1993-02-07,1.5599669161562844
114,1993-02-23,3.3056224781793233
115,1993-03-11,4.683922875313911
116,1993-03-27,7.08481631531123
117,1993-05-30,1.0269962083685655
118,1993-06-15,6.836719533014062
119,1993-07-01,5.931407817073243
120,1993-07-17,3.5421697096347273
121,1993-08-02,5.4263731140275695
122,1993-11-06,5.43599580005921
123,1993-11-22,4.477198932768481
124,1993-12-08,3.4529676586385563
125,1994-01-09,3.1002583443561775
126,1994-01-25,2.147841406103943
127,1994-02-10,3.0004170501322704
128,1994-03-30,7.571485564655127
129,1994-05-17,9.560795483796213
130,1994-06-02,5.985807042589741
131,1994-06-18,4.366260248557232
132,1994-07-04,7.80670628416469
133,1994-08-21,10.56391379732301
134,1994-09-06,7.089234392766471
135,1994-10-08,7.3624437969602425
136,1994-10-24,5.787235629726389
137,1994-11-09,3.6661192260729294
138,1994-11-25,1.044498536702097
139,1994-12-11,-0.07907188865620896
140,1994-12-27,2.971235673598752
141,1995-01-12,2.4218427886321976
142,1995-01-28,3.704486864737362
143,1995-02-13,2.274013054879152
144,1995-03-17,6.541573608091674
145,1995-04-02,6.648148252153774
146,1995-04-18,7.370413539106281
147,1995-05-04,4.062447086655965
148,1995-06-05,5.754025239299594
149,1995-07-07,-1.9747142339403254
150,1995-07-23,4.922487831091281
151,1995-08-08,6.584719347971792
152,1995-08-24,4.7815369201713835
153,1995-09-09,5.502672434118246
154,1995-09-25,6.776560258078199
155,1995-10-11,5.479531577528519
156,1995-10-27,4.82388945309539
157,1995-11-12,2.888158885184488
158,1995-12-14,1.240821839029092
159,1996-01-15,1.6311033925425882
