LST_max,LST_min,image_id
61.671406170156274,23.12472078457273,1_1_2_LT05_170045_19840606
62.07850363645707,26.485451934527987,1_1_2_LT05_170045_19840622
63.99495792970771,27.91759109557512,1_1_2_LT05_170045_19840910
62.044247427718915,19.595472092034413,1_1_2_LT05_170045_19841012
67.80598374086185,-17.685282996416078,1_1_2_LT05_170045_19841028
55.688616071366425,25.001064373674524,1_1_2_LT05_170045_19841113
52.12499014064946,23.43607825952631,1_1_2_LT05_170045_19841129
40.12019429089679,1.7314332836133417,1_1_2_LT05_170045_19841231
38.844127445961135,5.698672188243563,1_1_2_LT05_170045_19850201
45.481480117211674,17.626898674140307,1_1_2_LT05_170045_19850217
