,DATE_ACQUIRED,SUHI_normalized
0,1984-06-06,0.2574701270620576
1,1984-06-22,0.6597244605196332
2,1984-09-10,0.4715876920804117
3,1984-10-12,0.7108633629998016
4,1984-10-28,0.6384771073787
5,1984-11-13,0.6449284302217962
6,1984-11-29,0.5929761863998475
7,1984-12-31,-0.9812633913187115
8,1985-02-01,0.21482047974238971
9,1985-02-17,0.6042210861118998
10,1986-01-03,0.7275575856329614
11,1986-02-20,0.6765124908985599
12,1986-03-08,0.5666605003213938
13,1986-06-28,0.6237981432901814
14,1986-08-15,0.6857227711439527
15,1986-09-16,0.4679053473223555
16,1987-01-06,0.9534728868405971
17,1987-01-22,0.5937329833234481
18,1987-02-07,0.739547440239528
19,1987-03-11,0.5857365197582011
20,1987-03-27,0.6537442921420201
21,1987-04-12,0.5087374616820156
22,1987-05-14,0.1438058213558922
23,1987-06-15,0.6215137064704536
24,1987-07-01,0.5327653879101525
25,1987-10-05,0.48711197656659333
26,1987-10-21,0.5726383602983831
27,1987-12-16,0.7572758550152933
28,1987-12-24,0.27602906547609696
29,1988-01-09,0.4049605563104938
30,1988-01-25,0.46409643970817155
31,1988-03-13,0.19276767740185394
32,1988-03-29,0.604708638404453
33,1988-04-14,0.5187772358057924
34,1988-04-30,0.6152931048212805
35,1988-05-16,-0.30753680158476554
36,1988-06-01,0.539661932595155
37,1988-07-03,0.5108237661151271
38,1988-07-19,0.4560467779931328
39,1988-08-04,0.39125788779414317
40,1988-08-20,0.7496531018648684
41,1988-09-05,0.5689520495860894
42,1988-09-21,0.44009478643151895
43,1988-10-23,0.682425546210681
44,1988-11-08,0.6104282546874426
45,1988-11-24,0.562987190425897
46,1988-12-02,0.6937910573301367
47,1988-12-10,0.31793160597748815
48,1989-01-03,-0.03379575974819396
49,1989-01-11,0.3352908806235251
50,1989-02-12,0.6689935648677021
51,1989-02-28,0.582521973959021
52,1989-03-16,0.7005691110835702
53,1989-04-01,0.382028046914653
54,1989-04-17,0.6067681935994854
55,1989-05-03,0.6373219043895904
56,1989-06-04,0.6313957015416215
57,1989-06-20,0.5463716628107881
58,1989-07-06,0.45360031205874424
59,1989-07-22,0.7193609707061877
60,1989-08-07,0.858658747540692
61,1989-08-23,0.5402999921840234
62,1989-09-24,0.7682570668917064
63,1989-10-10,0.7708388586042617
64,1990-02-15,0.49224857394375454
65,1990-03-03,0.6669902004323726
66,1990-04-04,0.6471094369491174
67,1990-05-06,0.5926978087257467
68,1990-05-22,0.5619646721018288
69,1990-06-07,0.5296937970904922
70,1990-06-23,0.5927389334737663
71,1990-07-09,0.7332781051535937
72,1990-08-26,0.4636016238919665
73,1990-09-11,0.5656736729756416
74,1990-09-27,0.46687835789671217
75,1990-10-13,0.46206245696814247
76,1990-10-29,0.6060030681948836
77,1990-11-06,0.6072438627448986
78,1990-11-14,0.5089958470857036
79,1990-12-16,0.44795399112014395
80,1991-01-09,0.40497554390355966
81,1991-01-17,1.1143099162786494
82,1991-02-02,0.26215281655318345
83,1991-02-18,0.7594881739973482
84,1991-03-06,0.5280702638921353
85,1991-04-07,0.3863429397832336
86,1991-04-23,0.6101381067521493
87,1991-05-25,0.5854938272162947
88,1991-06-10,0.6666991370892201
89,1991-06-26,0.5625094611730056
90,1991-07-28,0.7219276488968948
91,1991-08-13,0.6110567346102386
92,1991-08-29,0.5988083185076273
93,1991-09-14,0.5475464774367605
94,1991-09-30,0.49971056770816036
95,1991-11-17,0.48202585973874795
96,1991-12-03,0.8166760480167161
97,1991-12-19,0.28303660928616
98,1992-01-04,-0.037659413477573574
99,1992-01-20,0.64390587433736
100,1992-02-05,0.3120071336565827
101,1992-04-09,0.6259478814883983
102,1992-05-11,0.6500784320532562
103,1992-05-27,0.48552810671754737
104,1992-06-28,0.606257756456671
105,1992-07-14,0.6646361343495635
106,1992-07-30,0.6404904015801992
107,1992-08-15,0.5305406159198269
108,1992-08-31,0.6106108001433777
109,1992-09-16,0.553497911935529
110,1992-11-03,0.14552149851346194
111,1992-12-05,0.4765923345309794
112,1992-12-21,0.3392341469687694
113,1993-02-07,0.4557720514842044
114,1993-02-23,0.628956674738697
115,1993-03-11,0.5291982189548994
116,1993-03-27,0.7869790915962873
117,1993-05-30,0.1119656828046296
118,1993-06-15,0.5443271002235567
119,1993-07-01,0.5910626569117532
120,1993-07-17,0.36924099154838025
121,1993-08-02,0.5207138644339872
122,1993-11-06,0.6861522977577005
123,1993-11-22,0.6673712575932099
124,1993-12-08,0.6701594505795264
125,1994-01-09,0.5791348077411635
126,1994-01-25,0.5802093010824323
127,1994-02-10,0.5423044133029546
128,1994-03-30,0.709538633725687
129,1994-05-17,0.6064318670745898
130,1994-06-02,0.588542939770164
131,1994-06-18,0.4157480619208205
132,1994-07-04,0.6611671237690168
133,1994-08-21,1.3823167558965685
134,1994-09-06,0.8747971249881914
135,1994-10-08,0.8801556365448455
136,1994-10-24,0.6064959925498176
137,1994-11-09,0.5581024584043034
138,1994-11-25,0.41923117873449023
139,1994-12-11,-0.08736804660267886
140,1994-12-27,0.6097495297989097
141,1995-01-12,0.5569696895869174
142,1995-01-28,0.6193394283498057
143,1995-02-13,0.4169019313005216
144,1995-03-17,0.6543737777762076
145,1995-04-02,0.5758228014260212
146,1995-04-18,1.0330181975894992
147,1995-05-04,0.3770657106399858
148,1995-06-05,0.4913308239018873
149,1995-07-07,-0.6066305219626651
150,1995-07-23,0.43885531222153334
151,1995-08-08,0.7335012614869398
152,1995-08-24,0.5954372229696392
153,1995-09-09,0.5810161144302247
